Hollandaca;Türkçe;sınav önceliği
het ontbijt;kahvaltı;⭐⭐⭐ ÇOK ÖNEMLİ
de lunch;öğle yemeği;⭐⭐⭐ ÇOK ÖNEMLİ
het avondeten;akşam yemeği;A1
de maaltijd;öğün;⭐⭐⭐ ÇOK ÖNEMLİ
de koffie;kahve;A1
de thee;çay;A1
thuis;evde / evdeki;⭐⭐⭐ ÇOK ÖNEMLİ
naar huis;eve;⭐⭐⭐ ÇOK ÖNEMLİ
van huis;evden;A1
binnen;içeride;⭐⭐⭐ ÇOK ÖNEMLİ
buiten;dışarıda;⭐⭐⭐ ÇOK ÖNEMLİ
boven;yukarıda / üst katta;⭐⭐⭐ ÇOK ÖNEMLİ
beneden;aşağıda / alt katta;⭐⭐⭐ ÇOK ÖNEMLİ
voor;önünde / önce;⭐⭐⭐ ÇOK ÖNEMLİ
achter;arkasında / sonra;⭐⭐⭐ ÇOK ÖNEMLİ
naast;yanında;⭐⭐⭐ ÇOK ÖNEMLİ
tussen;arasında;⭐⭐⭐ ÇOK ÖNEMLİ
tegenover;karşısında;A1
bij;yanında / -de;⭐⭐⭐ ÇOK ÖNEMLİ
in;içinde / -de;⭐⭐⭐ ÇOK ÖNEMLİ
op;üstünde / -de;⭐⭐⭐ ÇOK ÖNEMLİ
onder;altında;⭐⭐⭐ ÇOK ÖNEMLİ
met;ile;A1
zonder;olmadan / -siz;A1
aan;-e/-a / üzerinde;A1
tegen;karşı / -e doğru;A1
dichtbij;yakında;A1
ver;uzak;A1
links;sol;⭐⭐⭐ ÇOK ÖNEMLİ
rechts;sağ;⭐⭐⭐ ÇOK ÖNEMLİ
rechtdoor;düz;⭐⭐⭐ ÇOK ÖNEMLİ
hier;burada;⭐⭐⭐ ÇOK ÖNEMLİ
daar;orada;⭐⭐⭐ ÇOK ÖNEMLİ
ergens;bir yerde;A1
nergens;hiçbir yerde;A1
open;açık;⭐⭐⭐ ÇOK ÖNEMLİ
dicht;kapalı;⭐⭐⭐ ÇOK ÖNEMLİ
schoon;temiz;⭐⭐⭐ ÇOK ÖNEMLİ
vies;kirli;⭐⭐⭐ ÇOK ÖNEMLİ
leeg;boş;⭐⭐⭐ ÇOK ÖNEMLİ
vol;dolu;⭐⭐⭐ ÇOK ÖNEMLİ
licht;aydınlık / hafif;A1
donker;karanlık;A1
groot;büyük;⭐⭐⭐ ÇOK ÖNEMLİ
klein;küçük;⭐⭐⭐ ÇOK ÖNEMLİ
hoog;yüksek;A1
laag;alçak;A1
breed;geniş;A1
smal;dar;A1
nieuw;yeni;A1
oud;eski;A1
mooi;güzel;A1
lelijk;çirkin;A1
duur;pahalı;A1
goedkoop;ucuz;A1
kapot;bozuk / kırık;A1
heel;sağlam / bütün;A1
de schoonmaak;temizlik;A1
het huishouden;ev işleri / hane;A1
de was;çamaşır;A1
de afwas;bulaşık;A1
het afval;çöp / atık;A1
de vuilnisbak;çöp kutusu;A1
de vuilniszak;çöp poşeti;A1
het papier;kağıt;A1
het plastic;plastik;A1
het glas;cam;A1
de verwarming;ısıtma / kalorifer;A1
de elektriciteit;elektrik;A1
het licht;ışık;A1
het water;su;A1
de rekening;fatura / hesap;⭐⭐⭐ ÇOK ÖNEMLİ
de huur;kira;⭐⭐⭐ ÇOK ÖNEMLİ
de huisbaas;ev sahibi / erkek ev sahibi;A1
de huisvrouw;ev hanımı;A1
de huisgenoot;ev arkadaşı / aynı evde yaşayan kişi;A1
de buur;komşu;A1
elke dag;her gün;A1
iedere dag;her gün;A1
s morgens;sabahları;A1
s middags;öğleden sonraları;A1
s avonds;akşamları;A1
s nachts;geceleri;A1
meestal;genellikle;A1
eerst;önce / ilk olarak;A1
daarna;sonra / ardından;A1
dan;sonra / o zaman;A1
snel;hızlı;A1
langzaam;yavaş;A1
vroeg;erken;A1
laat;geç;A1
weer;yine / tekrar;A1
samen;birlikte;A1
alleen;yalnız / sadece;A1
de verjaardag;doğum günü;A1
bezoeken;ziyaret etmek;A1
uitnodigen;davet etmek;A1
slagen;başarmak / geçmek;A1
verhuizen;taşınmak;⭐⭐⭐ ÇOK ÖNEMLİ
huren;kiralamak;⭐⭐⭐ ÇOK ÖNEMLİ
kopen;satın almak;A1
lenen;ödünç almak;A1
lenen;ödünç vermek / almak;A1
repareren;tamir etmek;A1
betalen;ödemek;⭐⭐⭐ ÇOK ÖNEMLİ
kosten;maliyeti olmak;A1
nodig hebben;ihtiyaç duymak;⭐⭐⭐ ÇOK ÖNEMLİ
willen;istemek;A1
moeten;zor moeten / zorunda olmak;⭐⭐⭐ ÇOK ÖNEMLİ
kunnen;-ebilmek;⭐⭐⭐ ÇOK ÖNEMLİ
schoonvader;kayınpeder;Mijn schoonvader woont in Rotterdam.
schoonmoeder;kayınvalide;Ik bel elke week met mijn schoonmoeder.
stiefvader;üvey baba;Zijn stiefvader is heel aardig.
stiefmoeder;üvey anne;Haar stiefmoeder komt uit Spanje.
halfbroer;üvey (anne/baba bir) erkek kardeş;Ik heb een halfbroer in Amsterdam.
halfzus;üvey (anne/baba bir) kız kardeş;Mijn halfzus is jonger dan ik.
verloofd;nişanlı;Wij zijn verloofd sinds vorig jaar.
weduwe;dul kadın;Zij is weduwe na het overlijden van haar man.
weduwnaar;dul erkek;Hij is weduwnaar en woont alleen.
mijn;benim;Dit is mijn huis.
jouw / je;senin;Is dit jouw telefoon?
zijn (iyelik);onun (erkek);Dit is zijn boek.
haar (iyelik);onun (kadın);Dit is haar tas.
ons / onze;bizim;Dit is ons huis.
hun;onların;Dit is hun auto.
dit;bu (het-kelimeleri);Dit is mooi.
deze;bu (de-kelimeleri);Deze man is mijn buurman.
dat;şu / o (het-kelimeleri);Dat is mijn huis.
die;şu / o (de-kelimeleri);Die vrouw is mijn collega.
geboorteland;doğum ülkesi;Nederland is mijn geboorteland.
moedertaal;anadil;Mijn moedertaal is Turks.
Hoe gaat het?;Nasılsın?;Hoe gaat het met jou?
Het gaat goed.;İyiyim.;Dank je, het gaat goed.
welkom;hoş geldin(iz);Welkom in Nederland!
handtekening;imza;Zet hier uw handtekening.
burger;vatandaş;Ik ben een Nederlandse burger.
inwoner;sakin / oturan kişi;Zij is inwoner van Zwolle.
school;okul;Ik ga naar de taalschool.
klas;sınıf;Onze klas is groot.
klaslokaal;sınıf odası;Het klaslokaal is licht en schoon.
docent;öğretmen (erkek);De docent legt de grammatica uit.
docente;öğretmen (kadın);De docente is heel geduldig.
cursist;kursiyer;Elke cursist krijgt een boek.
groep;grup;Onze groep heeft acht cursisten.
les;ders;De les begint om negen uur.
lesboek;ders kitabı;Ik heb mijn lesboek vergeten.
werkboek;çalışma kitabı;Maak oefening drie in het werkboek.
schrift;defter;Schrijf de nieuwe woorden in je schrift.
pen;tükenmez kalem;Mag ik jouw pen lenen?
potlood;kurşun kalem;Ik teken met een potlood.
gum;silgi;Heb je een gum voor mij?
bord;yazı tahtası;De docent schrijft op het bord.
tafel;masa;Leg je boek op de tafel.
stoel;sandalye;Ga op je stoel zitten.
map;dosya / klasör;Alle papieren zitten in de map.
papier;kağıt;Ik heb een blad papier nodig.
huiswerk;ev ödevi;Maak het huiswerk voor morgen.
oefening;alıştırma;Deze oefening is niet moeilijk.
opdracht;görev / ödev;Lees de opdracht goed.
toets;kısa sınav;Volgende week hebben we een toets.
examen;sınav;Het examen is in juni.
cijfer;not (puan);Ik heb een goed cijfer gehaald.
niveau;seviye;Mijn niveau is nu A1.
certificaat;sertifika;Na de cursus krijg je een certificaat.
diploma;diploma;Zij heeft haar diploma behaald.
pauze;teneffüs / mola;We hebben een pauze van tien minuten.
rooster;ders programı;Kijk op het rooster voor de tijd.
computer;bilgisayar;Ik werk op de computer.
internet;internet;Wij oefenen ook op het internet.
downloaden;indirmek;Kun je het document downloaden?
printen;yazdırmak;Ik moet dit document printen.
rekenmachine;hesap makinesi;Mag ik jouw rekenmachine gebruiken?
agenda;ajanda;Schrijf het huiswerk in je agenda.
inschrijven;kayıt olmak;Ik wil mij inschrijven voor de cursus.
aanwezig;hazır bulunan;Iedereen is vandaag aanwezig.
afwezig;devamsız;Hij is morgen afwezig.
te laat;geç;Sorry, ik ben te laat.
op tijd;zamanında;Kom je morgen op tijd?
het eten;yemek / yiyecek;Ik maak het eten.
het voedsel;gıda;Het voedsel is vers.
de maaltijd;öğün;De maaltijd is lekker.
het ontbijt;kahvaltı;Ik eet ontbijt.
de lunch;öğle yemeği;Ik eet lunch om twaalf uur.
het avondeten;akşam yemeği;Het avondeten is klaar.
het tussendoortje;ara öğün / atıştırmalık;Ik eet een tussendoortje.
de snack;atıştırmalık;Ik wil een snack.
het gerecht;yemek / yemek çeşidi;Het gerecht is lekker.
het ingrediënt;malzeme;Wat is dit ingrediënt?
het recept;tarif;Ik heb een recept.
de smaak;tat;De smaak is goed.
de portie;porsiyon;De portie is groot.
de honger;açlık;Ik heb honger.
de dorst;susuzluk;Ik heb dorst.
het brood;ekmek;Ik koop brood.
het broodje;sandviç / küçük ekmek;Ik eet een broodje.
de boterham;ekmek dilimi / sandviç;Ik eet een boterham.
het volkorenbrood;tam tahıllı ekmek;Ik koop volkorenbrood.
het witbrood;beyaz ekmek;Ik eet witbrood.
het bruinbrood;esmer ekmek;Ik koop bruinbrood.
de bakker;fırıncı / fırın;Ik ga naar de bakker.
de bakkerij;fırın / pastane;De bakkerij is open.
de croissant;kruvasan;Ik eet een croissant.
de taart;pasta / turta;De taart is lekker.
het gebak;hamur işi / pasta;Het gebak is vers.
de cake;kek;Ik maak een cake.
de koek;kurabiye;Ik eet een koek.
het koekje;küçük kurabiye;Het koekje is lekker.
de muffin;muffin;Ik eet een muffin.
de pizza;pizza;Ik bestel een pizza.
de pannenkoek;krep / pankek;Ik maak pannenkoeken.
de wafel;waffle;Ik eet een wafel.
het vlees;et;Ik eet geen vlees.
de kip;tavuk;Ik koop kip.
het kippenvlees;tavuk eti;Het kippenvlees is vers.
het rundvlees;sığır eti;Ik koop rundvlees.
het varkensvlees;domuz eti;Het varkensvlees is duur.
het gehakt;kıyma;Ik koop gehakt.
de biefstuk;biftek;De biefstuk is lekker.
de worst;sosis / sucuk benzeri;Ik koop een worst.
de ham;jambon;Ik eet ham.
de bacon;bacon;Ik eet bacon.
de vis;balık;Ik eet vis.
de zalm;somon;Ik koop zalm.
de tonijn;ton balığı;Ik eet tonijn.
de garnalen;karides;Ik eet garnalen.
het ei;yumurta;Ik eet een ei.
de eieren;yumurtalar;Ik koop eieren.
de melk;süt;Ik drink melk.
de kaas;peynir;Ik koop kaas.
de boter;tereyağı;Ik koop boter.
de yoghurt;yoğurt;Ik eet yoghurt.
de room;krema;Ik gebruik room.
de slagroom;çırpılmış krema;Ik wil slagroom.
de kwark;quark / süzme peynir benzeri;Ik eet kwark.
de groente;sebze;Ik eet veel groente.
de aardappel;patates;Ik kook aardappelen.
de tomaat;domates;Ik koop tomaten.
de komkommer;salatalık;Ik eet een komkommer.
de wortel;havuç;Ik eet een wortel.
de ui;soğan;Ik snijd een ui.
de knoflook;sarımsak;Ik gebruik knoflook.
de paprika;biber;Ik koop een paprika.
de peper;biber / karabiber;Ik doe peper in de soep.
de sla;marul / salata;Ik eet sla.
de spinazie;ıspanak;Ik kook spinazie.
de broccoli;brokoli;Ik eet broccoli.
de bloemkool;karnabahar;Ik kook bloemkool.
de courgette;kabak;Ik koop een courgette.
de aubergine;patlıcan;Ik eet aubergine.
de champignon;mantar;Ik koop champignons.
de boon;fasulye;Ik eet bonen.
de sperzieboon;taze fasulye;Ik kook sperziebonen.
de erwt;bezelye;Ik eet erwten.
de maïs;mısır;Ik eet maïs.
de prei;pırasa;Ik koop prei.
de kool;lahana;Ik kook kool.
de rode kool;kırmızı lahana;Ik eet rode kool.
de biet;pancar;Ik koop een biet.
de pompoen;balkabağı;Ik koop een pompoen.
de avocado;avokado;Ik eet een avocado.
het fruit;meyve;Ik eet fruit.
de appel;elma;Ik eet een appel.
de peer;armut;Ik koop een peer.
de banaan;muz;Ik eet een banaan.
de sinaasappel;portakal;Ik eet een sinaasappel.
de mandarijn;mandalina;Ik koop mandarijnen.
de citroen;limon;Ik koop een citroen.
de aardbei;çilek;Ik eet aardbeien.
de druif;üzüm;Ik koop druiven.
de kers;kiraz;Ik eet kersen.
de perzik;şeftali;Ik eet een perzik.
de nectarine;nektarin;Ik koop een nectarine.
de pruim;erik;Ik eet een pruim.
de ananas;ananas;Ik koop een ananas.
de meloen;kavun;Ik eet meloen.
de watermeloen;karpuz;Ik koop een watermeloen.
de framboos;ahududu;Ik eet frambozen.
de bosbes;yaban mersini;Ik koop bosbessen.
de blauwe bes;yaban mersini;Ik eet blauwe bessen.
de mango;mango;Ik eet een mango.
de kiwi;kivi;Ik koop een kiwi.
de kokosnoot;Hindistan cevizi;Ik koop een kokosnoot.
het water;su;Ik drink water.
het mineraalwater;maden suyu;Ik drink mineraalwater.
de koffie;kahve;Ik drink koffie.
de thee;çay;Ik drink thee.
het sap;meyve suyu;Ik drink sap.
het sinaasappelsap;portakal suyu;Ik drink sinaasappelsap.
de frisdrank;meşrubat / gazlı içecek;Ik drink frisdrank.
de limonade;limonata / meyveli içecek;Ik drink limonade.
de cola;kola;Ik drink cola.
het bier;bira;Hij drinkt bier.
de wijn;şarap;Zij drinkt wijn.
de rode wijn;kırmızı şarap;Ik drink rode wijn.
de witte wijn;beyaz şarap;Ik drink witte wijn.
de suiker;şeker;Ik koop suiker.
het zout;tuz;Ik doe zout in de soep.
de olie;yağ;Ik gebruik olie.
de olijfolie;zeytinyağı;Ik gebruik olijfolie.
de azijn;sirke;Ik gebruik azijn.
de saus;sos;Ik maak een saus.
de mayonaise;mayonez;Ik eet mayonaise.
de ketchup;ketçap;Ik wil ketchup.
de jam;reçel;Ik eet brood met jam.
de honing;bal;Ik eet honing.
de mosterd;hardal;Ik wil mosterd.
het meel;un;Ik koop meel.
de bloem;un;Ik gebruik bloem.
de rijst;pirinç;Ik kook rijst.
de pasta;makarna;Ik kook pasta.
de spaghetti;spagetti;Ik maak spaghetti.
de kruiden;baharatlar / otlar;Ik gebruik kruiden.
de kaneel;tarçın;Ik gebruik kaneel.
de vanille;vanilya;Ik gebruik vanille.
de supermarkt;süpermarket;Ik ga naar de supermarkt.
de winkel;mağaza / dükkân;De winkel is open.
de markt;pazar;Ik ga naar de markt.
de bakker;fırıncı / fırın;Ik koop brood bij de bakker.
de slager;kasap;Ik ga naar de slager.
de groenteboer;manav;Ik koop groente bij de groenteboer.
de visboer;balıkçı;Ik koop vis bij de visboer.
de winkelier;dükkân sahibi / esnaf;De winkelier is aardig.
de klant;müşteri;De klant betaalt.
de medewerker;çalışan / görevli;De medewerker helpt mij.
de kassa;kasa;De kassa is daar.
de kassière;kasiyer;De kassière helpt mij.
het winkelwagentje;alışveriş arabası;Ik heb een winkelwagentje.
het mandje;sepet;Ik pak een mandje.
de boodschappentas;alışveriş çantası;Ik heb een boodschappentas.
het schap;raf;Het product staat op het schap.
de plank;raf / tahta;Het brood staat op de plank.
de verpakking;ambalaj;De verpakking is open.
het product;ürün;Het product is goedkoop.
het merk;marka;Wat is het merk?
het artikel;ürün / eşya;Ik koop dit artikel.
het vak;raf bölmesi;Het product ligt in dit vak.
de ingang;giriş;Waar is de ingang?
de uitgang;çıkış;Waar is de uitgang?
de prijs;fiyat;Wat is de prijs?
het bedrag;tutar;Het bedrag is tien euro.
de korting;indirim;Er is korting.
de aanbieding;kampanya / indirimli teklif;Deze aanbieding is goed.
